#{"t_start": 1544905661.1066525, "env_id": "LunarLander-v2"}
r,l,t
-351.790636,114,2.152004
-145.908032,70,2.187312
-204.790136,63,2.229771
-378.843183,81,2.286869
-154.284229,79,2.340721
-151.869978,89,2.399536
-348.355034,86,2.46607
-474.824386,105,2.539193
-142.735311,70,2.585894
-370.769092,77,2.644094
-154.716843,78,2.702935
-320.593647,96,2.787416
-93.7853,71,2.835237
-563.273692,80,2.89467
-213.012378,73,2.95237
-79.709441,98,3.023595
-39.382113,68,3.066745
-106.381706,94,3.135337
-254.608912,126,3.22615
-197.786096,112,3.308584
-245.390353,120,3.40196
-311.444519,68,3.451442
-193.491951,137,3.559145
-123.939293,108,3.645025
-120.278243,165,3.772144
-299.92453,216,3.950144
-237.725283,135,4.04586
-339.148403,153,4.164311
-319.770655,126,4.260971
-114.919884,105,4.346295
-174.717576,110,4.430902
-435.101681,124,4.529229
-381.277821,116,4.620492
-245.929887,95,4.689375
-45.987108,152,4.81223
-311.116212,109,4.895955
-12.909912,129,4.99151
-303.402157,122,5.084513
-352.028917,193,5.242567
-44.341444,207,5.427564
-479.08346,240,5.712208
-73.762486,136,5.820018
-192.72383,119,5.910278
-247.781154,95,5.98839
-461.934889,222,6.175967
-564.065337,106,6.262949
-108.4215,151,6.391885
-236.965531,254,6.631376
-86.923481,119,6.720445
-268.280452,106,6.80034
-444.025907,215,6.979707
-6.198551,158,7.110591
-532.778315,171,7.246385
-270.949026,139,7.361578
-131.209606,326,7.705474
-443.238369,163,7.836159
-239.200533,221,8.02573
40.779751,138,8.135805
-92.71912,177,8.276613
-284.255046,156,8.404123
-247.927945,152,8.521391
-73.405424,1000,10.475523
-281.11844,132,10.579236
-218.6485,106,10.667414
-193.881347,167,10.80655
-72.358971,125,10.901556
-219.385721,195,11.065153
-23.387618,108,11.149917
-30.982661,150,11.275868
-198.450177,136,11.388855
84.430844,1000,13.115961
-100.41763,87,13.181298
-21.915192,149,13.295794
-274.448106,128,13.403389
-90.226997,85,13.470655
-116.010102,119,13.57078
-72.8491,91,13.65052
-86.55383,102,13.744146
-44.724934,102,13.828103
-27.689613,132,13.931328
-26.189361,127,14.042339
1.059632,149,14.166508
20.646835,107,14.256835
-138.559717,140,14.371192
-91.449797,180,14.527137
-76.884128,272,14.758447
-251.688605,313,15.059022
-71.043281,223,15.25322
-42.083476,162,15.381516
-9.191666,174,15.523098
-77.953021,150,15.640759
7.079433,106,15.730369
-10.697455,95,15.802006
-183.237026,197,15.968249
-15.530241,102,16.050581
-19.708496,240,16.265632
-227.200497,206,16.435884
-81.363033,240,16.646175
-227.029825,227,16.84516
-228.84296,385,17.275993
-36.273117,207,17.457484
11.157287,268,17.713725
-81.536221,221,17.922599
-29.564619,455,18.425054
-224.967675,180,18.584124
214.55673,413,19.067109
95.880516,1000,21.283027
-55.384397,203,21.454638
-23.027173,275,21.728363
-227.894285,249,21.958685
-159.470433,212,22.146322
-57.671403,239,22.366096
21.452917,202,22.549295
-1.010032,126,22.659314
-207.054112,193,22.829473
1.389238,281,23.099417
-24.195416,157,23.241195
38.674277,254,23.472125
-52.97971,174,23.618141
-158.696618,204,23.79353
-64.747297,247,24.025017
-65.905299,252,24.280351
-81.233069,195,24.449225
59.841475,174,24.593987
-42.08672,270,24.832639
74.214192,221,25.02968
-195.555628,344,25.38178
-8.178178,226,25.590039
-167.835984,279,25.855364
-25.376833,280,26.1162
282.246979,389,26.545881
-22.931885,94,26.617857
84.718137,180,26.774511
7.323858,109,26.868145
-14.957782,133,26.981666
-44.32989,244,27.230329
38.473949,254,27.453375
7.00462,160,27.589731
-154.494981,158,27.728578
-146.344409,170,27.872685
-140.904938,166,28.005781
-199.990275,223,28.19762
-18.998893,182,28.349664
-87.476215,269,28.608901
-216.802853,321,28.956554
-28.004851,333,29.28289
4.464791,258,29.547004
-244.829735,270,29.810037
-28.092351,227,30.003925
-61.558239,230,30.218202
-130.233729,145,30.340304
1.799759,285,30.613963
-23.891752,394,31.074501
-186.540699,229,31.268859
-12.4514,302,31.564976
-79.231713,429,32.039401
-34.613093,234,32.260962
128.231469,509,33.0547
-67.494332,494,33.991687
-1.226647,208,34.208602
144.336833,1000,36.014757
37.551564,1000,38.472509
-156.082586,160,38.657442
-30.827915,257,38.976341
-43.30404,251,39.278817
-246.994317,245,39.558705
-100.896424,267,39.903756
66.521791,1000,41.9126
-5.936321,240,42.203934
143.059257,785,43.905252
-52.832239,242,44.211675
-8.961695,219,44.453252
-108.204434,305,44.84082
-56.954774,462,45.61993
-80.586323,213,45.852391
225.883906,347,46.30524
-165.325303,148,46.454271
-88.454144,230,46.732541
-20.830084,207,46.961441
59.174127,159,47.147753
-215.308593,240,47.42907
-42.638727,323,47.881219
2.144312,273,48.203377
-2.714916,166,48.375504
7.465333,286,48.733854
-18.522949,230,48.986541
-33.898206,221,49.230633
-40.472768,315,49.615661
153.39343,698,51.061995
0.215002,195,51.288406
13.35374,147,51.452242
12.770269,335,51.870523
8.099233,210,52.109292
-18.668776,337,52.559525
-26.256623,427,53.225267
19.831314,1000,55.843498
291.314144,345,56.238463
229.940421,550,57.24081
-24.07954,1000,59.668711
-51.851046,1000,62.387338
-51.210673,1000,64.562591
-60.46594,1000,67.685898
-39.317373,1000,71.118405
132.830478,980,72.972306
-226.093919,904,74.363633
-207.641957,237,74.632108
-126.66951,212,74.882847
-157.491629,241,75.143245
-142.583889,245,75.422339
-150.454044,181,75.624385
-117.875416,262,75.957922
-88.16349,156,76.132618
-119.767216,163,76.300546
-137.176292,220,76.551162
-70.603626,260,76.86946
-104.231853,241,77.145441
-120.289149,270,77.479409
-119.246215,178,77.664912
-113.916083,243,77.887183
-98.437485,260,78.128938
-89.524393,174,78.269688
-94.375863,237,78.481601
-104.960036,331,78.872398
-88.28137,333,79.196566
-84.754603,1000,81.330087
-35.214966,1000,83.41403
86.736338,1000,84.840197
-46.934441,1000,86.436046
-78.94435,1000,88.131972
16.773154,1000,90.085346
174.574573,639,90.902138
17.315639,1000,92.706917
-45.783904,496,93.319112
-60.709959,509,94.00989
106.824284,793,95.670585
-47.295451,1000,98.034871
103.313733,894,99.638304
47.221076,1000,102.483644
-118.076023,579,103.55276
187.778716,589,104.593666
-25.46302,1000,107.557627
35.242118,1000,109.772027
45.350366,1000,112.165299
162.214826,830,114.111911
-63.63743,1000,116.173002
-89.668204,744,117.541798
167.55557,842,119.43768
52.866064,962,121.873621
186.10943,488,122.688393
210.26708,501,123.542249
198.824855,545,124.42785
-47.668223,392,124.917032
102.657917,1000,126.982962
-35.954676,521,127.809559
-112.901483,491,128.59635
-87.601268,462,129.280435
-186.040664,644,130.10782
-146.409724,500,130.830445
-23.417812,305,131.214819
219.257537,661,132.112478
-40.861752,512,132.985917
212.949284,535,133.853204
141.538799,635,134.969712
199.6016,682,136.220794
205.29759,745,137.935735
-60.678761,309,138.395959
-23.855268,471,139.28033
228.049447,380,139.827153
204.482228,501,140.647813
-9.872613,307,141.04195
197.434377,416,141.742689
212.730519,410,142.370651
-59.057186,299,142.794374
196.413273,370,143.35581
202.580914,404,144.036768
-62.301963,229,144.394416
-52.754832,276,144.789376
150.771818,445,145.706089
-53.678795,180,145.988312
193.460355,425,146.862222
189.78018,589,148.265971
-47.333261,343,148.846906
-93.610926,285,149.29488
-114.645919,330,149.88542
-90.694553,391,150.563268
-97.06127,178,150.811323
-80.864225,255,151.193643
-126.272044,191,151.462839
-38.56019,214,151.805829
-38.176998,296,152.301538
222.369822,292,152.743478
-33.37781,144,152.959775
174.508477,399,153.71369
-92.363268,187,153.970205
-99.636315,263,154.354047
-140.539383,234,154.706326
166.079998,690,156.029181
154.061217,317,156.538163
-81.705568,363,157.195145
141.857876,480,158.028151
203.42393,439,158.941526
-11.577203,277,159.377682
